id,seizoen,datum,uur,thuis,uit,locatie,uitslag,verslag_id,verslag_titel
m2025-05-13,2024–2025,2025-05-13,19:30,Krom & Stijf,FC Millen,Sportpark Millen,,,
m2025-05-16,2024–2025,2025-05-16,20:00,Vetera FC,Krom & Stijf,Lanaken,2–2,v2025-05-16,Pittig duel
